9.844360168850567749e-01,1.186583820596403410e-01,4.734535131659387552e-01,9.266455162991475980e-01,2.206232268370534322e-01,8.630236346546620307e-01,1.031803620984079961e+00,1.296445576502843755e+00,3.141025689218874262e-01,2.329928634246504759e-01,-1.141147909422389820e-02,6.414220770541283478e-01,1.281334970541045060e+00,8.730826710290461312e-01,1.000000000000000000e+00
1.324165970002441906e-01,-9.245414020492964680e-02,1.417023758940296752e+00,7.169203424144396930e-01,1.818107427842694745e+00,1.744939411557635101e+00,5.641087632525558782e-01,-1.232968469192192856e-01,-3.619906071673529846e-01,-1.943906035125558152e+00,-2.380035460123968577e-02,3.893771972335740017e-01,7.259225467317254044e-01,-1.386724810451113454e-01,1.000000000000000000e+00
-2.287024661488008537e-01,-3.315965319005315659e-01,-1.780836341599392192e+00,-2.281656763402676091e+00,-1.832457498629842751e+00,-9.813963569810399967e-01,-9.540248431536400009e-01,3.358827978464509756e-01,-4.659919617516734003e-01,1.253400472507315122e+00,-7.355957981384233513e-01,-2.402141826154465809e-01,-7.246597135476433582e-01,-5.152619660526088774e-01,1.000000000000000000e+00
-2.439277075045535592e-01,7.234177158335570734e-01,4.830124996085750633e-01,3.589375939523270498e-01,4.234558314137019663e-01,1.802605284696336407e-01,-1.228061019929209269e-01,-2.100271742875928216e-03,-1.451229298728574230e-02,6.624756626827797978e-01,-5.573743954180774285e-01,-1.227757911531883073e+00,1.702309154480775577e-01,-5.715719286760858608e-01,2.000000000000000000e+00
-8.678721041142883896e-01,1.567191055984462622e-04,5.039223990095207523e-02,-3.456921881208140368e-01,-1.278467818409122270e+00,-1.072789833468857257e+00,-6.247323692129199690e-01,-4.250923839968590023e-01,-4.999292323323257792e-01,-3.128172585919413579e-02,-1.363206314553348619e+00,-4.517343943038399923e-01,-5.366944595271395668e-01,-7.217325589220202620e-01,2.000000000000000000e+00
-9.098254149558752113e-01,-2.163035029461891634e-01,2.552232698308209979e-01,7.348429454757559043e-01,6.954581161522514765e-02,-2.423663588952425507e-01,5.633308681615922797e-02,-6.437516347599380184e-01,-2.962308245038633436e-01,9.543728672012823377e-01,-1.236101729998205334e+00,-5.467446463633964804e-01,-2.600349791696813795e-01,-3.533250210864377072e-01,1.000000000000000000e+00
-4.075696289405536632e+00,-3.312775445442122546e+00,-2.742603376413009553e+00,-3.244157861100505968e+00,-2.149764425192361994e+00,-3.977912231527216846e+00,-4.049490729627899910e+00,-3.933329824529026020e+00,-3.056252722687857748e+00,-1.290981871732576280e+00,-2.321001665323432217e+00,-3.301459261327964079e+00,-3.980736764443228104e+00,-3.363328029877612479e+00,2.000000000000000000e+00
-8.520582372912628433e-01,3.594321862166686699e-01,-1.239292783946128296e+00,-1.581954521025715210e-01,-6.635867341244156004e-01,-2.547437447153245160e-01,-3.430795595368727607e-02,-1.181285588612250859e-01,-4.410006791677012483e-01,6.791445517145773270e-01,-1.623549913234640263e+00,-3.721638177512507362e-01,-2.868329329150856033e-01,-7.299371118298951799e-01,1.000000000000000000e+00
-3.025246341891449364e-01,-1.991295337201671733e-01,-2.467572184647400524e-01,-9.779805710730704593e-02,-7.313830793973569167e-01,2.810881478226339714e-01,7.426890292652551517e-01,9.389398008003813079e-02,-1.226998405356038102e+00,-3.258020395210757814e-01,-6.334517982766284527e-01,2.693604966577575754e-01,1.796552585484065823e-01,-1.881588654585746312e-01,1.000000000000000000e+00
-2.682929798592685433e+00,-2.979525119520889387e+00,-2.305315199575099339e+00,-3.046627561808748830e+00,-3.002931622731618067e+00,-2.834253567888836312e+00,-2.700093355829585651e+00,-2.069862469391935189e+00,-1.768890658929538340e+00,-9.111979754508430229e-01,-3.110211513632216818e+00,-2.451375861989491867e+00,-2.836850082252122984e+00,-2.696989366219921802e+00,1.000000000000000000e+00
