-1.086891240975957240e+00,1.000000000000000000e+00
6.505275673691094385e-01,1.000000000000000000e+00
-5.685746217739508050e-03,1.000000000000000000e+00
-5.876837133483013842e-01,2.000000000000000000e+00
5.818951695507697947e-02,2.000000000000000000e+00
-3.537769272895368439e-02,1.000000000000000000e+00
-7.026607439732464044e-01,2.000000000000000000e+00
1.721620912190627017e-01,1.000000000000000000e+00
-4.305269826211772233e-01,1.000000000000000000e+00
-1.823070873625902422e-01,1.000000000000000000e+00
7.247377009543054527e-01,2.000000000000000000e+00
8.287703595496548337e-01,1.000000000000000000e+00
-5.796520890214020838e-01,1.000000000000000000e+00
-7.264552784157810583e-01,1.000000000000000000e+00
3.225855122625058136e-01,1.000000000000000000e+00
2.985937246519911881e-01,2.000000000000000000e+00
-2.354332479544368195e-01,1.000000000000000000e+00
-9.802022147246923500e-02,1.000000000000000000e+00
-4.942208979347603170e-01,1.000000000000000000e+00
1.109790089264379442e-01,2.000000000000000000e+00
-5.737163685078775499e-01,1.000000000000000000e+00
8.012251515773627375e-02,1.000000000000000000e+00
1.376147599969324287e-01,1.000000000000000000e+00
-4.645700612525696660e-01,1.000000000000000000e+00
-8.092764515586087226e-01,1.000000000000000000e+00
7.933269886231425483e-01,2.000000000000000000e+00
-1.083174536604877947e+00,2.000000000000000000e+00
6.595371282173899674e-01,1.000000000000000000e+00
-2.266118959573944769e-01,1.000000000000000000e+00
-4.276305559999028505e-01,2.000000000000000000e+00
1.220785480092107633e+00,1.000000000000000000e+00
-2.708212719343134900e-01,1.000000000000000000e+00
-4.372269442885877155e-01,2.000000000000000000e+00
-1.027895041951692040e-01,2.000000000000000000e+00
-4.144878458164631962e-01,1.000000000000000000e+00
-6.064056436131205485e-01,1.000000000000000000e+00
-1.106984933325443343e-01,2.000000000000000000e+00
-8.944825213945307718e-01,1.000000000000000000e+00
1.606966829509397510e+00,1.000000000000000000e+00
1.840855734980627878e-01,1.000000000000000000e+00
1.062254936584378084e+00,1.000000000000000000e+00
1.574125822560656640e-01,1.000000000000000000e+00
3.757005558921121258e-02,1.000000000000000000e+00
1.160707347785296273e+00,1.000000000000000000e+00
2.313306860599389225e-01,1.000000000000000000e+00
2.704705702484737628e-01,1.000000000000000000e+00
-3.768144490895534160e-01,1.000000000000000000e+00
-1.293697441381697066e+00,1.000000000000000000e+00
-1.196058623030652912e+00,1.000000000000000000e+00
6.143701609007523601e-01,1.000000000000000000e+00
1.578514759437333603e-01,1.000000000000000000e+00
1.159758891599808883e-01,1.000000000000000000e+00
5.800605734852354312e-01,1.000000000000000000e+00
1.138528978729415470e-01,2.000000000000000000e+00
5.688703312396895528e-01,2.000000000000000000e+00
-2.901839556425237499e-01,2.000000000000000000e+00
-6.018997822423799958e-03,1.000000000000000000e+00
-7.471156874548334770e-01,1.000000000000000000e+00
-2.635465351223262309e-01,1.000000000000000000e+00
-6.500660345196055401e-01,1.000000000000000000e+00
-9.446503105564747482e-01,1.000000000000000000e+00
1.249482788707957370e+00,1.000000000000000000e+00
7.962486477173524868e-02,1.000000000000000000e+00
-1.478959940805982254e-01,1.000000000000000000e+00
1.381371109008580900e-01,1.000000000000000000e+00
5.137525996647537285e-01,1.000000000000000000e+00
-1.279218728653154447e+00,1.000000000000000000e+00
4.582142622871066551e-01,1.000000000000000000e+00
-8.564381326746554543e-03,1.000000000000000000e+00
-7.883248660054623658e-01,1.000000000000000000e+00
-1.119191193553609048e-01,2.000000000000000000e+00
-8.387045347222583935e-02,2.000000000000000000e+00
-4.198943850167413672e-02,2.000000000000000000e+00
1.675610464135646627e+00,2.000000000000000000e+00
9.655888958063185701e-03,1.000000000000000000e+00
-3.087091616788839032e-01,1.000000000000000000e+00
-7.961899197439615827e-01,1.000000000000000000e+00
-4.761539918285682266e-02,1.000000000000000000e+00
-3.015894635861723350e-01,2.000000000000000000e+00
3.489478196206074467e-01,1.000000000000000000e+00
1.026321492515501976e+00,1.000000000000000000e+00
